text,Is this tweet spam?,Does the tweet describe a hazard (something that could impose harm or other costs on the author of the tweet or on others)?,"Does the tweet provide information on how to avoid, cope with, or overcome the hazard described?","On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real hazard in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the hazard can be adequately managed, where 0 = not at all, and 100 = extremely? - Author confidence","Does the tweet describe a benefit (something that provides resources, opportunities, or other good things to the author of the tweet or to others)?",Does the tweet provide information on how to obtain the benefit described?,"On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real benefit in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the benefit can be obtained, where 0 = not at all, and 100 = extremely? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to a person? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to an event or circumstance? - Author confidence",What is your political orientation? - Political orientation,What is your gender?,What is your age?,Do you have children under 12?,AnnotatorID
"Fighting between Ethiopian federal forces and TPLF forces erupted again in late August, shattering a six-month humanitarian truce as the #TPLF forces reignited the conflict violating the humanitarian truce! #DisarmTPLF @USAmbUN @AFP @bpolitics @CNNAfrica @EU_Commission",No,Yes,No,95,50,No,,,,80,100,47,Man,36,No,0
Gut could sound early warning alarm for motor neuron disease https--//t.co/64eoIDx7DX{ https--//t.co/jbAjet7cJs,Yes,Yes,No,40,100,No,,,,0,100,47,Man,36,No,0
@Euphoria623 after waiting months hes finally in discord but for the sole purpose to talk shit and wanna fight me.. Cant even make this shit up,No,No,,,,No,,,,,,47,Man,36,No,0
looks like a disease https--//t.co/ddkHnHKQRI https--//t.co/KTR6yzXnAv,Yes,No,,,,No,,,,,,47,Man,36,No,0
"🏆WhiteList Winners--  @WingnutVonWinkl,@TamiSatya5,@HailingWang5,@shaoyi93651337,@samanehashemi,@EvertonStaub,@dreaala,@Ihabreslan  For MINT Join Discord https--//t.co/bBDxnBBUeY",Yes,No,,,,No,,,,,,47,Man,36,No,0
"@mommadragon4 @david_darmofal @iron_eliza Republicans died, Republican VP was nearly caught by a mob seeking to hang him, a wannabe dictator left a leadership void Pelosi and Schumer filled to avert mass execution, including of Republicans futilely pleading w/TFG, and the fall of democracy, which remains at serious risk.",No,Yes,No,50,65,No,,,,65,100,47,Man,36,No,0
"9/15 “🇪🇷’s re-entry into🇪🇹has made matters significantly worse, it needs to withdraw & respecs🇪🇹’s sovereignty-as should others who are fuelling the conflict,” @MikeHammerUSA said.  Dear @IntlCrimCourt @UN @NATO intervene to #EndTigrayGenocide https--//t.co/aLsfgCgQQp",Yes,No,,,,No,,,,,,47,Man,36,No,0
@PippaCrerar Charade and dangerous power vacuum.,Yes,No,,,,No,,,,,,47,Man,36,No,0
Emergency Preparedness Session 3 is THIS Wednesday-- Disaster Mental Health Care Support for Health Center Personne https--//t.co/lKS1arpZgX https--//t.co/zRURQijnY9,No,No,,,,Yes,Yes,85,80,0,100,47,Man,36,No,0
@Grenady2 Are yyou aware of  what is happening with Uniswap https--//t.co/pcKLpSRbjA,No,No,,,,No,,,,,,47,Man,36,No,0
Jesus christ it’s worse than post Financial Crisis Bush. https--//t.co/6vyPySUAGf,No,No,,,,No,,,,,,52,Man,41,No,1
"@Peacefullifejml I mean I do think it matters, but it depends on your objective, sometimes it can make you more famous, but it boxes you in as a certain type of actor/actress, then it becomes difficult to break that mold",No,No,,,,Yes,No,70,75,5,0,52,Man,41,No,1
"@Kaktuzz77 @Hussain80794884 @nytimes No, no, Russia has an atomic bomb, it is dangerous😁",No,Yes,No,100,20,No,,,,0,55,52,Man,41,No,1
"The Big One is approaching, and our venue has had some lovely renovations! Featuring a larger space, a pool table and a well stocked bar perfect for our event!  Make sure to sign up asap, before you miss your chance to register 🎃🎃  https--//t.co/5vT5cBIRpv https--//t.co/a8JdiYnL5J",No,No,,,,Yes,Yes,85,80,0,100,52,Man,41,No,1
"""Company debt"" I wish",No,No,,,,No,,,,,,52,Man,41,No,1
@JIMIN_RECORD13 @BTS_twt 지민 춤신춤왕   우리지민  JIMIN JIMIN   PROUD OF YOU JIMIN  WE LOVE YOU JIMIN    The only song to bring me out of my current despair is #WithYou by #JIMIN #BTSJIMIN of #BTS   (@BTS_twt) and Sungwoon,Yes,No,,,,No,,,,,,52,Man,41,No,1
@RepMaryMiller More guns means more shooting. More shooting leads to more death. It's a simple fact.,No,Yes,No,100,50,No,,,,10,50,52,Man,41,No,1
"@Ralph_Hapschatt In hindsight, probably should have. But it would mean having a second tank set up and causing more stress by moving them more than needed.  Suppose it can't be helped but it's bloody annoying",No,Yes,No,90,100,No,,,,0,4,52,Man,41,No,1
"@TawkVent @TheDemocrats @BillPascrell @MikieSherrill @Malinowski @GOP @BillyPrempeh @DeGrootCongress @KeanForCongress @njdotcom @starledger @nj1015 @BillSpadea @NJGOP Did some follow up apparently the cop died of a stroke in hospital while being treated after being assaulted by the crowd. I guess we would need a panel of experts to decide if any of the abuse could lead to a stroke , but I’ll concede my wording could be a bit off.",No,Yes,No,95,0,No,,,,100,100,52,Man,41,No,1
Confusion. Anger. Disbelief.   Watch #Mammals 11 November only on @primevideouk,Yes,No,,,,No,,,,,,52,Man,41,No,1
"☑️Boys experience body dissatisfaction but often have a difficult time articulating concerns ☑️Conversations about body image have been feminized, leaving boys ashamed to ask for help ☑️It's important that adults normalize body image discussion among boys https--//t.co/O2ZVa9NUfV",No,No,,,,Yes,No,93,71,9,82,3,Man,63,No,2
"@RachReally I don't think it is possible to continue with that level of humiliation. Was she not warned by advisers about going against orthodoxy. The damage done is enormous internationally, domestically and to ordinary people",No,Yes,No,90,13,No,,,,91,12,3,Man,63,No,2
"Rich countries must urgently help poor nations hit by climate crisis, says V20  https--//t.co/yYaDodv86o",No,No,,,,No,,,,,,3,Man,63,No,2
"We should be proud of such IAS officers who are not afraid to speak the truth in front of everyone!!  We proud of Madam ""Radha Raturi"" https--//t.co/QYZ7ffvd21",No,No,,,,Yes,Yes,92,50,9,82,3,Man,63,No,2
"@AndreaPunksmom @Dhs64dhs @RollingStone Read the autopsy report. The cause of death was a heart attack. Yes, the compression to his neck was contributing factor but so are drugs. It was fatal amount of fentanyl and a trace amount of meth. He also had covid. https--//t.co/YLE13i46Qd",No,No,,,,No,,,,,,3,Man,63,No,2
Reminder KTFLive-- The Consequences of Being Politically Incorrect https--//t.co/h3nfh8F5d5 https--//t.co/AFxIsUJJi2,No,No,,,,No,,,,,,3,Man,63,No,2
Verne Troyer Cause Of Death https--//t.co/O3B2x5wHDQ,Yes,Yes,No,50,7,No,,,,4,91,3,Man,63,No,2
@METAPCs @Cirus_AKA_Widow had to quit streaming all together cause the pos died,Yes,No,,,,No,,,,,,3,Man,63,No,2
